                              0         1  prob_ratio
president vladimir     0.000529  0.000441    1.199990
country in             0.000803  0.000670    1.198944
a man                  0.001096  0.000916    1.196761
a few                  0.000549  0.000459    1.196597
renewable energy       0.000549  0.000459    1.196597
a single               0.000549  0.000459    1.196597
not to                 0.001389  0.001162    1.195502
wa a                   0.001193  0.001003    1.189289
have no                0.000607  0.000511    1.187817
how to                 0.000607  0.000511    1.187817
were killed            0.000607  0.000511    1.187817
day in                 0.000607  0.000511    1.187817
percent of             0.000959  0.000810    1.183757
to keep                0.000979  0.000828    1.182222
new york               0.000666  0.000564    1.180678
million people         0.000666  0.000564    1.180678
in brazil              0.000686  0.000582    1.178586
new law                0.000705  0.000599    1.176617
and is                 0.000725  0.000617    1.174759
of u                   0.001115  0.000951    1.173062
while the              0.000373  0.000318    1.172835
china say              0.000373  0.000318    1.172835
church in              0.000373  0.000318    1.172835
a second               0.000393  0.000336    1.169620
new study              0.000393  0.000336    1.169620
talk with              0.000393  0.000336    1.169620
korea ha               0.000393  0.000336    1.169620
government of          0.000393  0.000336    1.169620
president barack       0.000393  0.000336    1.169620
british government     0.000393  0.000336    1.169620
year ago               0.001193  0.001021    1.168819
china is               0.000803  0.000687    1.168281
say they               0.000803  0.000687    1.168281
even if                0.000412  0.000353    1.166725
could be               0.001701  0.001460    1.164929
show that              0.000432  0.000371    1.164105
international law      0.000432  0.000371    1.164105
third of               0.000432  0.000371    1.164105
a government           0.000432  0.000371    1.164105
a human                0.000451  0.000388    1.161721
and china              0.000451  0.000388    1.161721
from their             0.000451  0.000388    1.161721
what it                0.000471  0.000406    1.159544
the netherlands        0.000471  0.000406    1.159544
a million              0.000471  0.000406    1.159544
are a                  0.000471  0.000406    1.159544
the cia                0.000471  0.000406    1.159544
aid to                 0.000510  0.000441    1.155710
a week                 0.000510  0.000441    1.155710
a palestinian          0.000529  0.000459    1.154014
up a                   0.000549  0.000476    1.152442
the way                0.000549  0.000476    1.152442
north korean           0.001877  0.001636    1.147244
that killed            0.000647  0.000564    1.146054
to ban                 0.001369  0.001197    1.144071
in order               0.000705  0.000617    1.143095
we have                0.000764  0.000670    1.140602
the people             0.000783  0.000687    1.139855
doe not                0.000842  0.000740    1.137830
uk government          0.000842  0.000740    1.137830
and that               0.000881  0.000775    1.136633
south african          0.000900  0.000793    1.136074
shot dead              0.000900  0.000793    1.136074
ha been                0.006408  0.005643    1.135659
linked to              0.000939  0.000828    1.135027
they are               0.001916  0.001689    1.134561
attack in              0.000959  0.000845    1.134537
on a                   0.002932  0.002585    1.134097
group of               0.001018  0.000898    1.133180
the west               0.001154  0.001021    1.130560
the un                 0.001252  0.001109    1.129044
after a                0.001525  0.001355    1.125846
year old               0.001643  0.001460    1.124805
in syria               0.002580  0.002304    1.119908
the world              0.009299  0.008332    1.116119
found dead             0.000588  0.000529    1.111430
with u                 0.000588  0.000529    1.111430
say the                0.001447  0.001302    1.111430
on his                 0.000588  0.000529    1.111430
no longer              0.001311  0.001179    1.111430
level of               0.000627  0.000564    1.111430
many of                0.000373  0.000336    1.111430
in japan               0.000764  0.000687    1.111430
in jail                0.000920  0.000828    1.111430
million to             0.000393  0.000353    1.111430
if you                 0.000881  0.000793    1.111430
it not                 0.000412  0.000371    1.111430
in yemen               0.000764  0.000687    1.111430
on friday              0.000647  0.000582    1.111430
majority of            0.000432  0.000388    1.111430
last year              0.001135  0.001021    1.111430
said on                0.000979  0.000880    1.111430
plane crash            0.000432  0.000388    1.111430
pope francis           0.000920  0.000828    1.111430
is that                0.000412  0.000371    1.111430
in pakistan            0.001584  0.001425    1.111430
the latest             0.000705  0.000634    1.111430
to give                0.000939  0.000845    1.111430
the australian         0.000490  0.000441    1.111430
end to                 0.000686  0.000617    1.111430
that will              0.000471  0.000424    1.111430
a former               0.000490  0.000441    1.111430
die in                 0.000373  0.000336    1.111430
the russian            0.000783  0.000705    1.111430
the state              0.000783  0.000705    1.111430
suicide bomber         0.000842  0.000757    1.111430
the taliban            0.000822  0.000740    1.111430
world first            0.000451  0.000406    1.111430
coast of               0.000471  0.000424    1.111430
a part                 0.000744  0.000670    1.111430
behind the             0.000549  0.000494    1.111430
government official    0.000373  0.000336    1.111430
will have              0.000549  0.000494    1.111430
access to              0.001154  0.001039    1.111430
to send                0.000705  0.000634    1.111430
under the              0.000744  0.000670    1.111430
university of          0.000373  0.000336    1.111430
shot in                0.000412  0.000371    1.111430
an israeli             0.000725  0.000652    1.111430
five year              0.000783  0.000705    1.111430
sign of                0.000568  0.000511    1.111430
up to                  0.002834  0.002585    1.096319
try to                 0.001252  0.001144    1.094357
a new                  0.003713  0.003393    1.094163
is a                   0.003459  0.003165    1.092917
one of                 0.004026  0.003692    1.090270
against the            0.001857  0.001706    1.088538
such a                 0.000900  0.000828    1.087833
in london              0.000881  0.000810    1.087321
in the                 0.025003  0.023006    1.086809
ahead of               0.000861  0.000793    1.086786
about the              0.001623  0.001496    1.085310
the british            0.000783  0.000722    1.084388
accused of             0.002346  0.002163    1.084344
war in                 0.000764  0.000705    1.083714
killed in              0.002854  0.002638    1.081812
law that               0.000686  0.000634    1.080643
the internet           0.001311  0.001214    1.079261
boko haram             0.000647  0.000599    1.078837
responsible for        0.000647  0.000599    1.078837
ban on                 0.001291  0.001197    1.078789
u government           0.000607  0.000564    1.076806
be a                   0.001213  0.001126    1.076752
and the                0.004807  0.004465    1.076438
in protest             0.000588  0.000547    1.075693
u embassy              0.000549  0.000511    1.073237
charged with           0.001076  0.001003    1.072501
close to               0.000529  0.000494    1.071877
the nsa                0.000529  0.000494    1.071877
