                                 0         1  prob_ratio
government to             0.000936  0.000890    1.051482
death of                  0.001160  0.001104    1.050825
death toll                0.000693  0.000660    1.050488
in order to               0.000693  0.000660    1.050488
part of                   0.002505  0.002387    1.049356
threatened to             0.000450  0.000429    1.048427
the end                   0.000898  0.000857    1.048260
year after                0.000880  0.000841    1.046554
boko haram                0.000656  0.000627    1.046029
year in prison            0.000861  0.000824    1.044780
out of                    0.004279  0.004098    1.044270
on thursday               0.001067  0.001022    1.044013
on sunday                 0.000637  0.000610    1.043619
the middle east           0.000842  0.000808    1.042933
role in                   0.000842  0.000808    1.042933
on the                    0.009023  0.008654    1.042630
is the                    0.002710  0.002601    1.042070
on his                    0.000618  0.000594    1.041076
drug cartel               0.000618  0.000594    1.041076
the nsa                   0.000618  0.000594    1.041076
found dead                0.000618  0.000594    1.041076
intelligence agency       0.000618  0.000594    1.041076
the state                 0.000824  0.000791    1.041010
may have                  0.001421  0.001367    1.039789
renewable energy          0.000600  0.000577    1.038387
about the                 0.001795  0.001729    1.038203
group of                  0.000992  0.000956    1.037719
the united nation         0.000581  0.000561    1.035542
from a                    0.001739  0.001680    1.035346
end of                    0.001141  0.001104    1.033904
a few                     0.000562  0.000544    1.032524
the end of                0.000749  0.000725    1.032446
the government            0.002411  0.002338    1.031558
middle east               0.001477  0.001433    1.031145
at the                    0.004204  0.004081    1.030173
human right               0.003980  0.003867    1.029182
attack on                 0.002523  0.002453    1.028820
edward snowden            0.001253  0.001219    1.028172
in an                     0.001963  0.001910    1.027855
israel to                 0.000712  0.000693    1.027553
the rest                  0.000525  0.000512    1.025906
in it                     0.001048  0.001022    1.025729
to have                   0.002617  0.002551    1.025623
in new                    0.001029  0.001005    1.023934
a court                   0.000506  0.000495    1.022267
the australian            0.000506  0.000495    1.022267
rise in                   0.000674  0.000660    1.022173
the taliban               0.000842  0.000824    1.022116
they have                 0.001010  0.000989    1.022079
protest in                0.001179  0.001153    1.022052
the internet              0.001328  0.001301    1.020598
day of                    0.000824  0.000808    1.019808
the year                  0.000487  0.000479    1.018378
wa found                  0.000487  0.000479    1.018378
that will                 0.000487  0.000479    1.018378
sentenced to              0.001459  0.001433    1.018109
over the                  0.002748  0.002699    1.017807
in germany                0.001291  0.001268    1.017619
million in                0.000637  0.000627    1.016227
on fire                   0.000637  0.000627    1.016227
it is                     0.003177  0.003127    1.015977
the second                0.000469  0.000462    1.014212
united state              0.002486  0.002453    1.013589
european union            0.001085  0.001071    1.013343
of it                     0.002635  0.002601    1.013343
report on                 0.000618  0.000610    1.013014
going to                  0.001067  0.001054    1.011439
attempt to                0.001365  0.001351    1.010964
killed in                 0.002860  0.002831    1.010080
to resign                 0.000450  0.000446    1.009739
the rest of               0.000450  0.000446    1.009739
in south africa           0.000450  0.000446    1.009739
seek to                   0.000450  0.000446    1.009739
oil company               0.000450  0.000446    1.009739
the vatican               0.000600  0.000594    1.009623
kim jong                  0.000600  0.000594    1.009623
in protest                0.000600  0.000594    1.009623
most of                   0.000600  0.000594    1.009623
to be                     0.009359  0.009279    1.008625
response to               0.000730  0.000725    1.006699
result of                 0.000581  0.000577    1.006039
of the                    0.025927  0.025828    1.003818
over a                    0.000712  0.000709    1.003712
in one                    0.000712  0.000709    1.003712
u embassy                 0.000562  0.000561    1.002244
rupert murdoch            0.000562  0.000561    1.002244
series of                 0.000562  0.000561    1.002244
charged with              0.001123  0.001120    1.002049
that the                  0.004186  0.004180    1.001379
ban on                    0.001384  0.001383    1.000423
saudi arabia              0.003140  0.003144    0.998777
in west                   0.000544  0.000544    0.998221
a report                  0.000544  0.000544    0.998221
of people                 0.001085  0.001087    0.998013
of their                  0.001347  0.001351    0.997134
to pay                    0.001477  0.001482    0.996812
the russian               0.000805  0.000808    0.996684
for the                   0.007678  0.007717    0.995047
call on                   0.000525  0.000528    0.993946
a palestinian             0.000525  0.000528    0.993946
been found                0.000656  0.000660    0.993858
police in                 0.000786  0.000791    0.993799
the united                0.002878  0.002897    0.993584
refuse to                 0.001291  0.001301    0.991889
that ha                   0.000898  0.000906    0.991186
the west bank             0.000506  0.000512    0.989397
in greece                 0.000506  0.000512    0.989397
responsible for           0.000618  0.000627    0.986426
foreign minister          0.000861  0.000873    0.985753
plan to                   0.003439  0.003489    0.985541
the united state          0.002075  0.002107    0.984751
a global                  0.000487  0.000495    0.984545
billion of                0.000487  0.000495    0.984545
russia and                0.000487  0.000495    0.984545
trying to                 0.001944  0.001976    0.984168
state of                  0.001085  0.001104    0.983139
u military                0.000842  0.000857    0.982880
terror attack             0.000600  0.000610    0.982410
of europe                 0.000469  0.000479    0.979360
failed to                 0.000469  0.000479    0.979360
need to                   0.001048  0.001071    0.978461
a russian                 0.000581  0.000594    0.978171
for his                   0.000693  0.000709    0.977368
to israel                 0.000805  0.000824    0.976790
rather than               0.000450  0.000462    0.973806
minister say              0.000450  0.000462    0.973806
an attack                 0.000450  0.000462    0.973806
a result                  0.000450  0.000462    0.973806
last week                 0.000674  0.000693    0.973614
government is             0.000786  0.000808    0.973559
half of                   0.000898  0.000923    0.973517
the war                   0.000992  0.001022    0.970877
year in                   0.001982  0.002041    0.970745
in yemen                  0.000768  0.000791    0.970193
to an                     0.000656  0.000676    0.969676
of being                  0.000544  0.000561    0.968947
in central                0.000544  0.000561    0.968947
be a                      0.001291  0.001334    0.967428
say he                    0.001179  0.001219    0.966880
she wa                    0.000749  0.000775    0.966685
the head                  0.000637  0.000660    0.965543
to be a                   0.000525  0.000544    0.963917
charge of                 0.000525  0.000544    0.963917
aimed at                  0.000525  0.000544    0.963917
president vladimir        0.000525  0.000544    0.963917
